 Toyota Hilux Full ,15.500, 2015 | 43500 km,Pichincha ( Quito )
 Chevier Mini Luyan Electric Deportivo ,7.900, 2019 | 0 km,Pichincha ( Quito )
 Ford Explorer Xlt 4x4 ,15.500, 2007 | 212000 km,Pichincha ( Quito )
 Kia Sportage Active ,13.900, 2011 | 110000 km,Pichincha ( Quito )
 Chevrolet Grand Vitara Luv 4x4 Full Equipo ,11.400, 2004 | 170000 km,Pichincha ( Quito )
 Renault Sandero Dinamic Full ,8.600, 2011 | 125000 km,Pichincha ( Quito )
 Renault Renault Symbol ,5.000, 2005 | 264000 km,Pichincha ( Quito )
 Toyota Rav4 4 Puertas Awd ,10.000, 1998 | 275000 km,Pichincha ( Quito )
 Mazda Bt-50 2014 Std ,15.000, 2014 | 224000 km,Pichincha ( Quito )
 Mitsubishi Outlander 4x2 ,12.700, 2007 | 213600 km,Imbabura
 Chevrolet N300 N300 Pasajeros Full Ac 1.2 ,8.500, 2015 | 121000 km,Guayas
 Nissan X-trail Classic ,15.700, 2013 | 150000 km,Pichincha ( Quito )
 Toyota Hilux Sr A/c ,23.000, 2009 | 190000 km,Pichincha ( Quito )
 Hyundai Elantra Versión Especial 2.0 ,10.500, 2007 | 220000 km,Pichincha ( Quito )
 Kia Sportage Automatico ,15.000, 2011 | 160000 km,Guayas
 Chevrolet Luv Full ,9.500, 1988 | 150250 km,Guayas
 Jeep Liberty Jeep Cherokee Limited Liberty 4x4 ,19.000, 2007 | 125000 km,Pichincha ( Quito )
 Citroën Ds4 Ds4 ,19.900, 2014 | 70200 km,Pichincha ( Quito )
 Volkswagen New Beetle New Beetle ,17.500, 2006 | 149000 km,Pichincha ( Quito )
 Hyundai Santa Fe Santa Fé 2.4 4x2 ,10.700, 2005 | 186470 km,Guayas
 Volkswagen Amarok Todo Terreno ,29.500, 2017 | 62 km,Guayas
 Mitsubishi Outlander 2wd ,18.000, 2009 | 156000 km,Pichincha ( Quito )
 Hyundai Tucson Ix ,20.600, 2013 | 124000 km,Chimborazo
 Chevrolet Aveo Aveo Emotion Gt ,10.000, 2010 | 145785 km,Pichincha ( Quito )
 Jeep Grand Cherokee Jeep ,10.500, 2001 | 235000 km,Pichincha ( Quito )
 Mazda Mazda 6 Mazda 6 ,13.500, 2008 | 150000 km,Pichincha ( Quito )
 Fiat Premio 1.3 ,3.600, 1995 | 342877 km,Santo Domingo De Los Tsáchilas
 Tianye (china) Admiral (tecnología Toyota) 2.2 ,12.800, 2012 | 136000 km,Pichincha ( Quito )
 Toyota Prado 4x4 ,22.500, 2008 | 215000 km,Pichincha ( Quito )
 Suzuki Forsa Nissan March ,10.600, 2013 | 160000 km,Pichincha ( Quito )
 Byd Song Full ,22.000, 2017 | 45000 km,Guayas
 Toyota Hilux Toyota Hilux 4x4 ,20.000, 2009 | 260000 km,Loja
 Chevrolet Trooper Americana 1992 ,8.900, 1992 | 166000 km,Azuay
 Toyota Land Cruiser Land Cruiser 4x4 ,9.000, 2020 | 1 km,Guayas
 Ssangyong Korando A230 Gasolina 4x2 ,13.200, 2008 | 131500 km,Chimborazo
 Chevrolet Grand Vitara Sz 2018 ,22.500, 2018 | 19000 km,Pichincha ( Quito )
 Ford Explorer Xlt ,14.900, 2008 | 200000 km,Pichincha ( Quito )
 Ford Edge Ford Edge 2013 Automatico ,28.000, 2013 | 66000 km,Pichincha ( Quito )
 Mazda Mazda 6 6 Extra ,14.900, 2009 | 98000 km,Guayas
 Toyota Corolla Vvt-i 16 Valve ,11.500, 2006 | 163000 km,Pichincha ( Quito )
 Honda Cr-v Automtica ,15.000, 2004 | 254000 km,El Oro
 Chevrolet Tracker Automatica ,17.500, 2014 | 75000 km,Pichincha ( Quito )
 Chevrolet D-max Dmax Crdi Full Ac 3.0 4x4 ,29.000, 2014 | 77000 km,Pichincha ( Quito )
 Chevrolet Chevrolet Ftr ,49.500, 2015 | 315000 km,El Oro
 Mazda Mazda 3 Sedan ,18.500, 2014 | 52000 km,Pichincha ( Quito )
 Chevrolet Aveo Aveo Emotion ,10.800, 2009 | 145000 km,Pichincha ( Quito )
 Renault Logan Mecanica ,8.000, 2005 | 189000 km,Santa Elena
 Renault Duster Expresion ,15.800, 2014 | 95000 km,Guayas
 Toyota Hilux Full ,15.500, 2015 | 43500 km,Pichincha ( Quito )
 Chevier Mini Luyan Electric Deportivo ,7.900, 2019 | 0 km,Pichincha ( Quito )
 Ford Explorer Xlt 4x4 ,15.500, 2007 | 212000 km,Pichincha ( Quito )
 Kia Sportage Active ,13.900, 2011 | 110000 km,Pichincha ( Quito )
 Chevrolet Grand Vitara Luv 4x4 Full Equipo ,11.400, 2004 | 170000 km,Pichincha ( Quito )
 Renault Sandero Dinamic Full ,8.600, 2011 | 125000 km,Pichincha ( Quito )
 Renault Renault Symbol ,5.000, 2005 | 264000 km,Pichincha ( Quito )
 Toyota Rav4 4 Puertas Awd ,10.000, 1998 | 275000 km,Pichincha ( Quito )
 Mazda Bt-50 2014 Std ,15.000, 2014 | 224000 km,Pichincha ( Quito )
 Mitsubishi Outlander 4x2 ,12.700, 2007 | 213600 km,Imbabura
 Chevrolet N300 N300 Pasajeros Full Ac 1.2 ,8.500, 2015 | 121000 km,Guayas
 Nissan X-trail Classic ,15.700, 2013 | 150000 km,Pichincha ( Quito )
 Toyota Hilux Sr A/c ,23.000, 2009 | 190000 km,Pichincha ( Quito )
