no;year;winner;gender;age;country;time;marathon
1;2018;Dickson Chumba;Male;19;Kenya;04/05/2018 2:05;Tokyo
2;2018;Birhane Dibaba;Female;20;Ethiopia;04/05/2018 2:19;Tokyo
3;2017;Wilson Kipsang;Male;20;Kenya;04/05/2018 2:03;Tokyo
4;2017;Sarah Chepchirchir;Female;20;Kenya;04/05/2018 2:19;Tokyo
5;2016;Feyisa Lilesa;Male;20;Ethiopia;04/05/2018 2:06;Tokyo
6;2016;Helah Kiprop;Female;21;Kenya;04/05/2018 2:21;Tokyo
7;2015;Endeshaw Negesse;Male;21;Ethiopia;04/05/2018 2:06;Tokyo
8;2015;Birhane Dibaba;Female;21;Ethiopia;04/05/2018 2:23;Tokyo
9;2014;Dickson Chumba;Male;21;Kenya;04/05/2018 2:05;Tokyo
10;2014;Tirfi Tsegaye;Female;21;Ethiopia;04/05/2018 2:22;Tokyo
11;2013;Dennis Kimetto;Male;22;Kenya;04/05/2018 2:06;Tokyo
12;2013;Aberu Kebede;Female;22;Ethiopia;04/05/2018 2:25;Tokyo
13;2012;Michael Kipyego;Male;22;Kenya;04/05/2018 2:07;Tokyo
14;2012;Atsede Habtamu;Female;22;Ethiopia;04/05/2018 2:25;Tokyo
15;2011;Hailu Mekonnen;Male;22;Ethiopia;04/05/2018 2:07;Tokyo
16;2011;Noriko Higuchi;Female;22;Japan;04/05/2018 2:28;Tokyo
17;2010;Masakazu Fujiwara;Male;22;Japan;04/05/2018 2:12;Tokyo
18;2010;Alevtina Biktimirova;Female;22;Russia;04/05/2018 2:34;Tokyo
19;2009;Salim Kipsang;Male;22;Kenya;04/05/2018 2:10;Tokyo
20;2009;Mizuho Nasukawa;Female;23;Japan;04/05/2018 2:25;Tokyo
21;2008;Viktor Röthlin;Male;23;Switzerland;04/05/2018 2:07;Tokyo
22;2008;Claudia Dreher;Female;23;Germany;04/05/2018 2:35;Tokyo
23;2007;Daniel Njenga;Male;23;Kenya;04/05/2018 2:09;Tokyo
24;2007;Hitomi Niiya;Female;23;Japan;04/05/2018 2:31;Tokyo
25;2017;Eliud Kipchoge;Male;23;Kenya;04/05/2018 2:03;Berlin
26;2017;Gladys Cherono;Female;23;Kenya;04/05/2018 2:20;Berlin
27;2016;Kenenisa Bekele;Male;23;Ethiopia;04/05/2018 2:03;Berlin
28;2016;Aberu Kebede;Female;24;Ethiopia;04/05/2018 2:20;Berlin
29;2015;Eliud Kipchoge;Male;22;Kenya;04/05/2018 2:04;Berlin
30;2015;Gladys Cherono;Female;24;Kenya;04/05/2018 2:19;Berlin
31;2014;Dennis Kimetto;Male;24;Kenya;04/05/2018 2:02;Berlin
32;2014;Tirfi Tsegaye;Female;24;Ethiopia;04/05/2018 2:20;Berlin
33;2013;Wilson Kipsang;Male;24;Kenya;04/05/2018 2:03;Berlin
